input_rank,token_label,token_currency,token_issuer,ranking_dex_tx_count,ranking_amm_tx_count,ranking_clob_tx_count,ranking_min_side,ranking_balance_ratio,amm_rows,amm_tx_count,unique_ledgers,amm_account_count,sample_amm_account,xrp_reserve_min,xrp_reserve_median,xrp_reserve_mean,xrp_reserve_max,token_reserve_min,token_reserve_median,token_reserve_mean,token_reserve_max,status,amm_depth_rank_by_median_xrp
6,RLUSD,524C555344000000000000000000000000000000,rMxCKbEDwqr76QuheSUMdEGf4B9xJ8m5De,124895,3328,123453,3328,0.026957627599167294,3328,3328,2920,1,rhWTXC2m2gGGA9WozUaoMm6kLAVPb1tcS3,670273.290421,692316.80802,693728.9022415421,726405.101169,1260539.803814955,1423533.599232715,1378971.5734027657,1466866.455050815,ok,1
13,FUZZY,46555A5A59000000000000000000000000000000,rhCAT4hRdi2Y9puNdkpMzxrdKa5wkppR62,15717,15050,1050,1050,0.06976744186046512,15050,15050,7525,1,rBudi9ArACZzLrReUWKFZmHve13LD7CbrM,305746.734129,333763.738737,335090.42540347547,374957.621134,26044260361.16973,29990028605.36482,29817384340.526672,33198786098.05777,ok,2
3,SOLO,534F4C4F00000000000000000000000000000000,rsoLo2S1kiGeCcn6hCUXVrCpGMWLrRrLZz,19702,12646,7830,7830,0.6191681164004428,12646,12646,9315,1,rMEJo9H5XvTe17UoAJzj8jtKVvTRcxwngo,158178.130468,170715.705911,172351.08156359792,184924.023473,2049927.631140241,2188822.4386064,2187169.6493497826,2352995.996649396,ok,3
12,USDC,5553444300000000000000000000000000000000,rGm7WCVp9gb4jZHWTEtGUr4dd74z2XuWhE,18622,1369,17367,1369,0.07882766165716588,1369,1369,1216,1,rM7cHVPfhe9yxQNk2kDNBEQqoQmMcQGPWE,142183.446769,152043.579656,150824.14003384733,157756.248419,282105.2208921439,292254.2160239464,293446.51901876036,306828.2427893711,ok,4
8,CNY,CNY,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y,7159,4619,3008,3008,0.6512232084866855,4619,4619,2503,1,rEKkGGiLMfL28q74W4QAEPeRwXvcxWdutn,79946.613127,83308.836225,83821.49759382878,88332.550249,1113149.427618792,1179071.436217534,1172986.4311923545,1228183.170626871,ok,5
4,CORE,434F524500000000000000000000000000000000,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,15138,8470,7362,7362,0.869185360094451,8470,8470,7671,1,rBu4LXTxM9cfs3JsFCuDbPMzvGBDR66wpi,61359.327746,67018.459787,67597.11597952915,71673.092805,1865564.871015525,1943176.232717312,1978926.5173795272,2082788.945453048,ok,6
2,XAH,XAH,rswh1fvyLqHizBS2awu1vs6QcmwTBd9qiv,26991,14074,13039,13039,0.9264601392638908,14074,14074,13112,1,r9zeQhjj3scQFDRriCJpMjDtW6eWjWnp6M,39337.329841,40953.228473,41124.40993304403,44461.287409,2256899.016689233,2443513.443114554,2455327.3918454973,2683747.488906807,ok,7
7,MALLARD,4D414C4C41524400000000000000000000000000,raaoPU9crbLGEFCMyh8moNH4gipsHJY3wN,23440,3044,20473,3044,0.1486836321008157,3044,3044,2176,1,rwPJURQbB932kpRg7YhrF1JytDCW15wkb7,14233.367494,15934.624692,17476.898025595914,20519.07219,91371892.21178798,100339346.3090958,107857990.08534555,127818403.3276221,ok,8
10,xSPECTAR,7853504543544152000000000000000000000000,rh5jzTCdMRCVjQ7LT6zucjezC47KATkuvv,15024,1822,13231,1822,0.13770690046103848,1822,1822,1368,1,rUGqgPbzKFVsSkTYUk4hdRoPwTaLv1iSDS,12531.848287,13176.044469,13129.009912392976,13527.249668,2320040.439003992,2380694.27141751,2396096.672256422,2506509.61027565,ok,9
5,589,589,rfcasq9uRbvwcmLFvc4ti3j8Qt1CYCGgHz,29127,4529,24648,4529,0.1837471600129828,4529,4529,2977,1,rMtcezeKUbKGnkEHbLw82VhBWx9bJ3JiQx,11839.621361,12931.277215,13054.5316363599,14615.805238,332496441.5273323,377215878.8546993,373587430.1800829,409040719.3655719,ok,10
1,666,666,rhvf9fe6PP3GC8Bku2Ug7iQPjPDxYZfrxN,298378,235659,84395,84395,0.35812339015272066,235659,235659,154895,1,rfD5fzDHvh5WGiep3TgiSz2GcyqCHX7uCA,10022.182176,10236.954463,10199.376642792124,10401.281759,170637.9243551557,173371.8204277983,174171.9783142072,178124.8066130157,ok,11
9,3RDEYE,3352444559450000000000000000000000000000,rHjyBqFM5oQvXu1soWtATC4r1V6GBnhCQQ,30480,2143,28371,2143,0.07553487716330055,2143,2143,1647,1,rHx8P9wmKsTw2fSdgVEwsWyTB5sDgJZkNx,6804.479338,6960.808707,6966.771563434905,7178.78217,53201769.55545558,56274789.71908682,56004277.709188834,57290013.21791483,ok,12
14,BPUG,4250554700000000000000000000000000000000,rUjp8dVpWFr7WJa93uHjSN16fZgiJivPwa,15447,878,14586,878,0.06019470725353078,878,878,630,1,rptGpBERyRRD7x8KXZ9XtRNq2V6KgriXQC,1654.694278,1715.991967,1719.1864594646922,1797.134995,13660483752.50941,14327836042.25717,14301464730.953571,14849192605.42434,ok,13
15,EUROP,4555524F50000000000000000000000000000000,rMkEuRii9w9uBMQDnWV5AA43gvYZR9JxVK,10935,845,10170,845,0.08308751229105212,845,845,831,1,rh6ZwVa12mGhuk2ZdqLTqyftcFG6GiGE5a,46.541808,49.590821,53.75722164733727,68.043308,75.68062448562962,78.66220505400962,88.71938077434103,120.5766523986643,ok,14
11,XMAS,584D415300000000000000000000000000000000,rQnrDqcTQVqzHmvMX94HjcnZHtRQgU5jw1,5331,4247,1509,1509,0.35530963032728985,4247,4247,2562,1,rhdd3H98WdJVkKHjxMATk652zzPZsBmQ95,1.35,38.876424,37.72944101365668,174.662746,239582616.585936,1263983244.025264,1647343867.9810865,10914750000.0,ok,15
